country,keyword,search_interest
Argentina,meditation,2
Australia,meditation,98
Austria,meditation,49
Bangladesh,meditation,10
Belgium,meditation,25
Brazil,meditation,2
Canada,meditation,71
Colombia,meditation,2
Czechia,meditation,7
Denmark,meditation,46
Egypt,meditation,6
Finland,meditation,12
France,meditation,39
Germany,meditation,40
Ghana,meditation,31
Greece,meditation,11
Hong Kong,meditation,19
Hungary,meditation,8
India,meditation,35
Indonesia,meditation,3
Iran,meditation,3
Ireland,meditation,100
Israel,meditation,14
Italy,meditation,5
Japan,meditation,1
Kenya,meditation,26
Malaysia,meditation,15
Mexico,meditation,3
Nepal,meditation,51
Netherlands,meditation,17
New Zealand,meditation,70
Nigeria,meditation,16
Norway,meditation,18
Pakistan,meditation,14
Philippines,meditation,18
Poland,meditation,3
Portugal,meditation,14
Romania,meditation,9
Russia,meditation,3
Saudi Arabia,meditation,4
Singapore,meditation,37
South Africa,meditation,37
South Korea,meditation,9
Spain,meditation,6
Sri Lanka,meditation,38
Sweden,meditation,36
Switzerland,meditation,60
Taiwan,meditation,4
Thailand,meditation,7
Türkiye,meditation,2
Ukraine,meditation,2
United Arab Emirates,meditation,25
United Kingdom,meditation,52
United States,meditation,48
Vietnam,meditation,7
Argentina,mindfulness,49
Australia,mindfulness,79
Austria,mindfulness,9
Bangladesh,mindfulness,6
Belgium,mindfulness,37
Bolivia,mindfulness,20
Brazil,mindfulness,21
Canada,mindfulness,51
Chile,mindfulness,55
Colombia,mindfulness,41
Costa Rica,mindfulness,37
Croatia,mindfulness,20
Czechia,mindfulness,20
Denmark,mindfulness,98
Dominican Republic,mindfulness,18
Ecuador,mindfulness,35
Egypt,mindfulness,7
Finland,mindfulness,50
France,mindfulness,5
Germany,mindfulness,7
Greece,mindfulness,15
Guatemala,mindfulness,23
Hong Kong,mindfulness,48
Hungary,mindfulness,25
India,mindfulness,11
Indonesia,mindfulness,12
Iran,mindfulness,3
Ireland,mindfulness,100
Israel,mindfulness,15
Italy,mindfulness,46
Japan,mindfulness,1
Kenya,mindfulness,18
Malaysia,mindfulness,15
Mexico,mindfulness,36
Netherlands,mindfulness,78
New Zealand,mindfulness,68
Nigeria,mindfulness,8
Norway,mindfulness,45
Pakistan,mindfulness,15
Peru,mindfulness,38
Philippines,mindfulness,23
Poland,mindfulness,18
Portugal,mindfulness,52
Puerto Rico,mindfulness,43
Romania,mindfulness,18
Russia,mindfulness,4
Saudi Arabia,mindfulness,4
Singapore,mindfulness,54
South Africa,mindfulness,19
South Korea,mindfulness,15
Spain,mindfulness,75
Sri Lanka,mindfulness,23
Sweden,mindfulness,57
Switzerland,mindfulness,22
Taiwan,mindfulness,8
Thailand,mindfulness,9
Türkiye,mindfulness,12
Ukraine,mindfulness,3
United Arab Emirates,mindfulness,21
United Kingdom,mindfulness,67
United States,mindfulness,40
Uruguay,mindfulness,55
Venezuela,mindfulness,22
Vietnam,mindfulness,10
Argentina,breathwork,3
Australia,breathwork,100
Austria,breathwork,34
Bangladesh,breathwork,3
Belgium,breathwork,25
Brazil,breathwork,3
Canada,breathwork,45
Chile,breathwork,3
Colombia,breathwork,3
Costa Rica,breathwork,32
Croatia,breathwork,9
Czechia,breathwork,10
Denmark,breathwork,39
Egypt,breathwork,4
Estonia,breathwork,29
Finland,breathwork,10
France,breathwork,14
Germany,breathwork,26
Greece,breathwork,15
Hong Kong,breathwork,10
Hungary,breathwork,6
India,breathwork,3
Indonesia,breathwork,6
Ireland,breathwork,71
Israel,breathwork,9
Italy,breathwork,4
Malaysia,breathwork,6
Mexico,breathwork,6
Morocco,breathwork,7
Netherlands,breathwork,48
New Zealand,breathwork,70
Norway,breathwork,28
Pakistan,breathwork,4
Peru,breathwork,3
Philippines,breathwork,4
Poland,breathwork,3
Portugal,breathwork,23
Romania,breathwork,9
Russia,breathwork,3
Saudi Arabia,breathwork,1
Singapore,breathwork,18
South Africa,breathwork,21
South Korea,breathwork,12
Spain,breathwork,10
Sweden,breathwork,40
Switzerland,breathwork,56
Taiwan,breathwork,3
Thailand,breathwork,9
Türkiye,breathwork,1
Ukraine,breathwork,1
United Arab Emirates,breathwork,18
United Kingdom,breathwork,45
United States,breathwork,32
Vietnam,breathwork,9
Argentina,guided meditation,1
Australia,guided meditation,95
Belgium,guided meditation,5
Canada,guided meditation,61
Denmark,guided meditation,11
Egypt,guided meditation,1
France,guided meditation,1
Germany,guided meditation,1
Greece,guided meditation,4
India,guided meditation,5
Ireland,guided meditation,100
Israel,guided meditation,5
Italy,guided meditation,1
Malaysia,guided meditation,3
Mexico,guided meditation,1
Netherlands,guided meditation,7
New Zealand,guided meditation,56
Norway,guided meditation,9
Pakistan,guided meditation,2
Philippines,guided meditation,3
Poland,guided meditation,1
Portugal,guided meditation,7
Romania,guided meditation,3
Russia,guided meditation,1
Singapore,guided meditation,10
South Africa,guided meditation,25
South Korea,guided meditation,3
Spain,guided meditation,3
Sweden,guided meditation,9
Switzerland,guided meditation,6
Thailand,guided meditation,1
United Arab Emirates,guided meditation,9
United Kingdom,guided meditation,45
United States,guided meditation,43
Vietnam,guided meditation,2
Argentina,yoga nidra,10
Australia,yoga nidra,29
Austria,yoga nidra,15
Belgium,yoga nidra,19
Brazil,yoga nidra,1
Canada,yoga nidra,23
Chile,yoga nidra,3
Colombia,yoga nidra,4
Croatia,yoga nidra,8
Czechia,yoga nidra,4
Denmark,yoga nidra,20
Finland,yoga nidra,6
France,yoga nidra,17
Germany,yoga nidra,14
Greece,yoga nidra,7
Hong Kong,yoga nidra,5
Hungary,yoga nidra,3
Iceland,yoga nidra,100
India,yoga nidra,8
Indonesia,yoga nidra,1
Ireland,yoga nidra,39
Israel,yoga nidra,3
Italy,yoga nidra,9
Malaysia,yoga nidra,2
Mexico,yoga nidra,2
Netherlands,yoga nidra,53
New Zealand,yoga nidra,27
Norway,yoga nidra,24
Peru,yoga nidra,1
Philippines,yoga nidra,1
Poland,yoga nidra,2
Portugal,yoga nidra,9
Romania,yoga nidra,4
Russia,yoga nidra,1
Serbia,yoga nidra,4
Singapore,yoga nidra,6
South Africa,yoga nidra,6
South Korea,yoga nidra,2
Spain,yoga nidra,15
Sweden,yoga nidra,31
Switzerland,yoga nidra,39
Taiwan,yoga nidra,1
Thailand,yoga nidra,1
Türkiye,yoga nidra,1
United Arab Emirates,yoga nidra,5
United Kingdom,yoga nidra,20
United States,yoga nidra,12
Uruguay,yoga nidra,15
Venezuela,yoga nidra,2
Vietnam,yoga nidra,2
