country,keyword,search_interest
Australia,breathwork,100
Ireland,breathwork,71
New Zealand,breathwork,70
Switzerland,breathwork,56
Netherlands,breathwork,48
Canada,breathwork,45
United Kingdom,breathwork,45
Sweden,breathwork,40
Denmark,breathwork,39
Austria,breathwork,34
Ireland,guided meditation,100
Australia,guided meditation,95
Canada,guided meditation,61
New Zealand,guided meditation,56
United Kingdom,guided meditation,45
United States,guided meditation,43
South Africa,guided meditation,25
Denmark,guided meditation,11
Singapore,guided meditation,10
Norway,guided meditation,9
Ireland,meditation,100
Australia,meditation,98
Canada,meditation,71
New Zealand,meditation,70
Switzerland,meditation,60
United Kingdom,meditation,52
Nepal,meditation,51
Austria,meditation,49
United States,meditation,48
Denmark,meditation,46
Ireland,mindfulness,100
Denmark,mindfulness,98
Australia,mindfulness,79
Netherlands,mindfulness,78
Spain,mindfulness,75
New Zealand,mindfulness,68
United Kingdom,mindfulness,67
Sweden,mindfulness,57
Chile,mindfulness,55
Uruguay,mindfulness,55
Iceland,yoga nidra,100
Netherlands,yoga nidra,53
Ireland,yoga nidra,39
Switzerland,yoga nidra,39
Sweden,yoga nidra,31
Australia,yoga nidra,29
New Zealand,yoga nidra,27
Norway,yoga nidra,24
Canada,yoga nidra,23
Denmark,yoga nidra,20
